University Name,Applicants for 2018,Source
UC Berkeley,89609,https://www.universityofcalifornia.edu/about-us/information-center/admissions-residency-and-ethnicity
UC Davis,78024,https://www.universityofcalifornia.edu/about-us/information-center/admissions-residency-and-ethnicity
UC Irvine,95059,https://www.universityofcalifornia.edu/about-us/information-center/admissions-residency-and-ethnicity
UC LA,113755,https://www.universityofcalifornia.edu/about-us/information-center/admissions-residency-and-ethnicity
UC Merced,25131,https://www.universityofcalifornia.edu/about-us/information-center/admissions-residency-and-ethnicity
UC Riverside,49079,https://www.universityofcalifornia.edu/about-us/information-center/admissions-residency-and-ethnicity
UCSD,97898,https://www.universityofcalifornia.edu/about-us/information-center/admissions-residency-and-ethnicity
UC Santa Barbara,92306,https://www.universityofcalifornia.edu/about-us/information-center/admissions-residency-and-ethnicity
UC Santa Cruz,56625,https://www.universityofcalifornia.edu/about-us/information-center/admissions-residency-and-ethnicity
Stanford,47452,https://ucomm.stanford.edu/wp-content/uploads/sites/15/2019/01/stanford-cds-2018.pdf
Caltech ,8208,https://finance.caltech.edu/documents/15173/cds2019.pdf
USC,64352,https://oir.usc.edu/wp-content/uploads/2019/06/CDS_2018-2019_FINAL1.pdf
Pepperdine ,11265,https://www.pepperdine.edu/oie/content/pdf/cds_2018-19_ver2.pdf
USF,18411,https://myusf.usfca.edu/sites/default/files/users/wongl/CDS_2018-2019.pdf
University of San Diego,13287,https://www.sandiego.edu/facts/documents/cds/CDS_2018-19.pdf
San Diego State University,69043,https://asir.sdsu.edu/Documents/CommonDataSets/CDS_2018-2019.pdf
University of the Pacific,#N/A,
